time,temperature,humidity,wind_speed
2025-12-09 00:00:00,21.9,85,4.5
2025-12-09 01:00:00,21.6,87,5.4
2025-12-09 02:00:00,21.5,88,3.9
2025-12-09 03:00:00,21.2,88,5.1
2025-12-09 04:00:00,20.7,88,7.2
2025-12-09 05:00:00,20.2,88,8.1
2025-12-09 06:00:00,19.8,91,7.3
2025-12-09 07:00:00,19.8,90,7.4
2025-12-09 08:00:00,19.8,90,7.0
2025-12-09 09:00:00,19.9,91,6.5
2025-12-09 10:00:00,19.9,90,8.0
2025-12-09 11:00:00,20.2,86,10.9
2025-12-09 12:00:00,20.8,85,16.2
2025-12-09 13:00:00,21.2,83,19.6
2025-12-09 14:00:00,20.8,86,19.5
2025-12-09 15:00:00,20.8,86,21.3
2025-12-09 16:00:00,20.4,88,22.5
2025-12-09 17:00:00,20.7,86,22.4
2025-12-09 18:00:00,20.1,89,23.5
2025-12-09 19:00:00,19.9,90,24.0
2025-12-09 20:00:00,20.0,90,24.1
2025-12-09 21:00:00,19.9,88,25.8
2025-12-09 22:00:00,19.9,90,25.0
2025-12-09 23:00:00,19.7,92,26.9
2025-12-10 00:00:00,19.8,90,23.4
2025-12-10 01:00:00,20.0,89,22.2
2025-12-10 02:00:00,19.8,91,21.1
2025-12-10 03:00:00,19.4,93,19.0
2025-12-10 04:00:00,19.8,90,22.4
2025-12-10 05:00:00,19.7,91,20.2
2025-12-10 06:00:00,19.7,91,19.7
2025-12-10 07:00:00,19.7,90,22.5
2025-12-10 08:00:00,19.8,89,24.6
2025-12-10 09:00:00,19.8,88,24.5
2025-12-10 10:00:00,19.9,88,25.3
2025-12-10 11:00:00,20.5,84,27.5
2025-12-10 12:00:00,22.0,75,31.5
2025-12-10 13:00:00,23.2,69,33.3
2025-12-10 14:00:00,24.3,63,32.3
2025-12-10 15:00:00,25.5,56,34.9
2025-12-10 16:00:00,26.5,50,36.0
2025-12-10 17:00:00,26.8,49,35.2
2025-12-10 18:00:00,27.1,45,35.9
2025-12-10 19:00:00,26.4,48,32.9
2025-12-10 20:00:00,25.9,51,29.9
2025-12-10 21:00:00,24.9,54,26.6
2025-12-10 22:00:00,23.6,57,23.6
2025-12-10 23:00:00,22.7,61,20.7
2025-12-11 00:00:00,22.2,63,17.4
2025-12-11 01:00:00,21.9,65,14.8
2025-12-11 02:00:00,21.6,67,14.0
2025-12-11 03:00:00,21.2,68,14.0
2025-12-11 04:00:00,20.8,70,15.3
2025-12-11 05:00:00,20.4,71,16.6
2025-12-11 06:00:00,20.1,71,16.6
2025-12-11 07:00:00,19.8,72,15.4
2025-12-11 08:00:00,19.6,74,14.8
2025-12-11 09:00:00,19.6,76,14.3
2025-12-11 10:00:00,20.5,75,17.0
2025-12-11 11:00:00,22.0,68,22.2
2025-12-11 12:00:00,23.4,62,25.1
2025-12-11 13:00:00,24.8,55,26.5
2025-12-11 14:00:00,26.2,50,27.2
2025-12-11 15:00:00,27.3,44,27.7
2025-12-11 16:00:00,27.9,41,27.0
2025-12-11 17:00:00,28.3,39,25.3
2025-12-11 18:00:00,28.3,37,23.3
2025-12-11 19:00:00,28.2,34,21.7
2025-12-11 20:00:00,27.5,33,19.1
2025-12-11 21:00:00,26.1,38,14.2
2025-12-11 22:00:00,24.1,47,8.4
2025-12-11 23:00:00,22.8,52,6.3
2025-12-12 00:00:00,21.7,58,4.8
2025-12-12 01:00:00,21.0,60,4.6
2025-12-12 02:00:00,20.6,61,4.3
2025-12-12 03:00:00,20.2,61,4.4
2025-12-12 04:00:00,19.7,62,4.2
2025-12-12 05:00:00,19.1,65,4.2
2025-12-12 06:00:00,18.6,68,4.1
2025-12-12 07:00:00,17.7,74,4.7
2025-12-12 08:00:00,17.3,76,4.0
2025-12-12 09:00:00,17.6,77,3.3
2025-12-12 10:00:00,19.8,76,3.0
2025-12-12 11:00:00,23.6,57,3.8
2025-12-12 12:00:00,25.5,49,8.2
2025-12-12 13:00:00,27.0,49,10.9
2025-12-12 14:00:00,28.3,47,13.3
2025-12-12 15:00:00,28.8,45,15.5
2025-12-12 16:00:00,28.6,46,15.0
2025-12-12 17:00:00,29.3,45,12.9
